temporal_model,tabular_model,outer_fold,pm,subject_id,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_lstm,lightgbm,1,interest,d111e017,-0.12244646812699989,-0.13291145544573335,-0.06354462667531835,-0.06992555233979247,-0.2154811715481173,-0.02941176470588236,-0.12019465028975762,-0.13380281690140838
torch_lstm,lightgbm,1,interest,f1d06060,-0.16623017605121493,-0.19627890369564788,-0.16077404335806778,-0.10175996114760233,-0.24050632911392408,-0.09195402298850586,-0.17766813200750564,-0.17761557177615572
torch_lstm,lightgbm,1,focus,30c140ca,0.16601955708944482,0.17030835341940564,0.13718723037100955,0.17222280650013888,0.060109289617486183,0.27192982456140347,0.14567956875220933,0.14141414141414144
torch_lstm,lightgbm,1,focus,3110e0c7,0.002538071065989911,0.0031233835908304197,0.10189201661282898,0.059459880950510025,0.0,0.005076142131979711,0.001935819022974905,0.003968253968253954
torch_lstm,lightgbm,1,focus,40f0714a,0.2321428571428572,0.26087516082576645,-0.017857142857142794,0.039682539682539764,0.4642857142857143,0.0,0.038461538461538436,0.45217391304347837
torch_lstm,lightgbm,1,focus,7150e10a,0.12327380952380951,0.11887742264704748,0.11574404761904777,0.20640313204241068,0.12750000000000006,0.11904761904761907,0.07763646579419614,0.12603305785123964
torch_lstm,lightgbm,1,focus,71f0603f,-0.011115817097679725,-0.016439708706876166,0.026085006726792703,0.0351371563125813,-0.057750759878419544,0.03551912568306004,0.020225713633627462,-0.008633093525179936
torch_lstm,lightgbm,1,focus,81f1f0fe,0.05409431392577457,-0.016967057113008166,0.07039496084439911,0.011696314668442231,0.21212121212121215,-0.1039325842696629,0.02238002423935459,-0.05450236966824651
torch_lstm,lightgbm,1,focus,a1721173,0.1311494252873564,0.12749599556972535,0.15471264367816095,0.1661420499930888,0.5689655172413793,-0.30666666666666664,0.11479625006501282,0.07518796992481203
torch_lstm,lightgbm,1,focus,c060c06a,-0.03572929802437996,-0.006541965645294412,0.12084909625893225,0.039525739574597374,0.005464480874316946,-0.07692307692307687,-0.005752817690404477,0.0026385224274406704
torch_lstm,lightgbm,1,focus,c112918e,0.014223057644110249,-0.05487755337722067,0.019548872180451315,0.015408091565254467,-0.19298245614035092,0.22142857142857142,-0.07978052269098512,-0.08534322820037099
torch_lstm,lightgbm,1,focus,d111e017,-0.0017883245731346031,-0.0022704674211417863,0.01180605231238152,0.012057428695014583,-0.03797468354430378,0.03439803439803446,0.009043247408383137,-0.0012468827930174342
torch_lstm,lightgbm,1,focus,f1d06060,0.008575647432985,0.08575480044938566,0.04006701499318477,0.0052586144376643995,-0.22580645161290314,0.24295774647887336,0.13313786587411613,0.10049019607843124
