temporal_model,tabular_model,outer_fold,pm,delta_balanced_accuracy_temporal_minus_tabular,delta_f1_temporal_minus_tabular,delta_roc_auc_temporal_minus_tabular,delta_pr_auc_temporal_minus_tabular,delta_low_recall_temporal_minus_tabular,delta_high_recall_temporal_minus_tabular,delta_precision_temporal_minus_tabular,delta_accuracy_temporal_minus_tabular
torch_lstm,xgboost,3,excitement,-0.028782112224164935,-0.03275476700657254,-0.018164630433446294,-0.01010280064612712,-0.03986196943497977,-0.0177022550133501,-0.028748390490969555,-0.0295665247749598
torch_lstm,xgboost,3,stress,-0.04269311044746149,-0.044286804052773965,-0.016180265486822054,0.012076469975876969,0.025338389760578117,-0.11072461065550088,-0.0324890847900946,-0.037617769091051745
torch_lstm,xgboost,3,relaxation,-0.02809865853818594,-0.027120765138750613,-0.02830580546103667,-0.028886337991344213,-0.010510980245603374,-0.045686336830768504,-0.04962191334409183,-0.041560270129674004
torch_lstm,xgboost,3,interest,-0.061517690704679606,-0.07988122317713076,-0.1058761254126942,-0.07982860293396732,-0.037610725175775905,-0.08542465623358342,-0.06341467664790312,-0.08726569338307155
torch_lstm,xgboost,3,focus,0.05434611245504961,0.06310627541074687,0.06732418548067631,0.07397902138950974,0.06866295401788003,0.04002927089221886,0.09779945404808277,0.053864477829221324
torch_lstm,xgboost,4,attention,-0.03016387085009753,-0.0638838872056583,-0.04751684884928109,-0.05783252893600077,-0.11765419828037893,0.05732645658018409,-0.08652037806423385,-0.05481472697090073
torch_lstm,xgboost,4,engagement,-0.04228172439094158,-0.04926714034274393,-0.018573996406903603,-0.008588128361106673,-0.0013629172816284063,-0.08320053150025453,-0.06099952992617852,-0.042439908816793936
torch_lstm,xgboost,4,excitement,0.003528602051043439,3.6022197453911e-05,0.00826702525152856,0.010027561648851435,0.03142713982778156,-0.024369935725694014,-0.010472392667442931,-0.006932034323864578
torch_lstm,xgboost,4,stress,-0.051622434618958546,-0.0847571900298989,-0.07901411552665927,-0.04191207562367949,0.10343090597946869,-0.20667577521738612,-0.021409578973757615,-0.09394512995596827
torch_lstm,xgboost,4,relaxation,-0.052689577574037916,-0.057143301306429195,-0.027013971381061652,-0.0325672094612145,0.043490994293236884,-0.14887014944131316,-0.025431770338079196,-0.04330460373858802
torch_lstm,xgboost,4,interest,-0.06328483436182408,-0.08014787894281095,-0.0852008505328482,-0.037099001769969275,-0.020902682983447107,-0.10566698574020106,-0.0863139523908274,-0.08255073164803683
torch_lstm,xgboost,4,focus,0.07075489865683116,0.0831110862239901,0.10439967033685515,0.127009746780386,0.08865931782624348,0.05285047948741839,0.10991427214532723,0.07008197400094873
torch_lstm,xgboost,5,attention,-0.11561981944243482,-0.15731666427694246,-0.11107810377091265,-0.10197635154301554,-0.24685366088901306,-0.00682721989485735,-0.09173554398349426,-0.15365048222321742
torch_lstm,xgboost,5,engagement,-0.0011687331729764994,-0.020466885118157307,-0.013918706810419734,-0.02370563545496074,-0.010505541935386886,0.008168075589433776,-0.03084465078968268,-0.0394602974033732
